点赞数	评论数	转发数	阅读数	在看数	收藏数
113	0	0	12630		10
65	0	0	13462		13
26	2	0	10537		7
0	0	0	50		0
45	2	0	5481		30
6	0	0	275		1

248	3	0	34290		38

3	0	0	1799		1
7	0	0	463		2

2	2	0	270		1
106	1	1	35588		26

35	0	0	1618		6

86	4	0	12442		12
3	0	0	841		2



4	0	0	692		3
3	0	0	65		0
1	0	0	186		0
51	3	0	7241		14
144	3	1	6467		26

0	0	0	58		0
0	0	0	140		0
21	0	0	883		4
104	0	0	2515		34

19	1	0	1186		4
1	0	0	9		0
104	48	1	10871		32

192	0	0	46142		46
170	6	0	19525		50
325	36	0	29063		61

42	0	0	2883		8


17	1	0	836		3
18	1	0	4444		10
11	0	0	2311		1
8	1	0	2143		5
113	2	0	12526		28
0	0	0	43		0
6	0	0	542		3


8	0	0	1719		2
60	27	0	11607		20
17	1	0	3311		11

167	10	0	17994		18
2	0	0	70		0
6	0	0	1162		0



16	2	0	1929		2

227	7	0	34716		57
122	26	0	19185		33
33	0	0	3452		6
4	0	0	194		0
10	0	0	1726		3
20	0	0	3487		6
8	1	0	1377		3
9	0	0	1419		3
8	0	0	1914		3
11	0	0	545		2
533	1	0	42908		92
4	0	0	219		1
5	0	0	1890		1
30	0	0	1493		8
5	0	0	1062		0
21	4	0	4668		3
70	3	0	5095		16
908	13	0	45928		231
95	2	0	3666		16
6	1	0	483		3
27	1	0	1517		3
421	66	0	17437		88
1	0	0	39		0
1	0	0	8		0
170	9	1	20562		30
14	1	0	1536		4
3	0	0	29		0
8	2	0	132		1
82	5	0	9969		14
37	0	0	4840		9
9	0	0	495		3
12	0	0	1585		1
23	0	0	2263		2
39	0	0	2240		8
17	2	0	2565		4
18	1	0	2536		6
106	1	0	13818		20
66	0	0	4826		9
178	1	0	16169		15
5	2	0	358		0
10	1	0	809		5
2	1	0	396		0
34	0	0	3072		5
13	1	0	3338		3
0	0	0	22		0
192	24	0	33616		40
90	0	0	11945		18
312	7	0	17947		62
8	0	0	950		1
319	1	0	24575		42
135	1	0	12829		25
10	1	0	2442		1
67	0	0	14273		17
94	13	0	9613		24
18	0	0	1502		8
4	0	0	2451		3
7	1	0	1784		2
86	5	0	17013		20
171	5	2	39277		43
42	5	0	7527		8
7	0	0	1085		1
21	1	0	2318		4
211	5	0	24819		45
27	13	0	9875		10
4	0	0	398		0
13	0	0	513		0
9	0	0	169		1
7	0	0	219		2
10	0	0	481		3
7	0	0	179		0
59	1	0	4065		11
13	0	0	173		4
249	1	0	11926		44
87	3	0	6102		17
56	4	0	19492		21
29	2	0	12537		5
4	0	0	260		2
3	0	0	31		1
133	3	0	13907		22
148	0	0	31113		28
25	1	0	2311		5
213	10	0	10932		32
340	108	0	29048		57
126	30	0	39676		30
118	18	0	33748		28
781	109	0	159372		207
927	66	0	87664		144
40	0	0	9678		7
4	1	0	336		3
197	28	0	50097		45
3	0	0	580		0
57	3	0	5791		10
27	2	1	3945		9
81	0	0	9714		12
14	1	0	574		3
52	3	0	10387		7
10	0	0	688		4
13	1	0	3341		3
179	2	0	16602		57
284	40	1	59066		59
112	0	0	21206		22
35	0	0	2259		11
36	0	0	2200		8
9	1	0	672		4
3	1	0	423		3
22	0	0	1551		7
2	0	0	157		0
1	0	0	79		2
26	2	0	3658		14
461	140	0	32994		102
433	17	0	38484		58
246	8	1	22366		53
99	2	0	14182		18
167	4	0	35836		34
187	0	0	83256		51
3	0	0	191		1
36	0	0	2768		11
279	35	0	45402		70
291	0	0	19951		41
17	0	0	962		3
143	9	0	33469		41
146	45	0	7134		23
524	49	0	63465		74
256	4	0	28060		38
61	5	0	14251		16
592	111	1	135957		175
999	18	0	77697		174
353	4	0	25897		39
95	1	0	4116		13
4	0	0	284		0
5	1	0	197		0
3	0	0	1774		1
25	0	0	7262		5
660	11	0	50380		110
60	2	0	6851		10
475	45	0	150451		116
9	0	0	1463		0
143	1	0	12378		10
90	4	0	14343		22
23	1	0	2024		2
155	7	0	12081		40
7	0	0	177		2
8	0	0	268		1
13	0	0	210		3
8	0	0	468		5
1241	204	0	72774		181
28	1	0	1645		6
154	9	0	12783		29
65	4	0	4619		10
610	5	0	46606		61
43	1	0	3605		10
140	5	0	22653		25
800	45	1	104746		129
4	0	0	733		1
7	0	1	189		0
43	5	1	1076		2
10	0	0	1629		3
52	3	0	6567		5
20	0	0	1521		2
100	1	0	11839		19
41	0	0	2430		4
35	4	0	5004		4
15	3	0	799		1
14	5	0	757		3
180	2	0	39190		34
33	1	0	2866		6
522	8	0	48910		75
158	3	0	28348		31
340	7	0	23143		62
43	0	0	9332		7
461	21	0	58248		73
46	0	0	2575		6
16	1	0	2824		9
169	0	0	15822		40
36	0	0	4397		7
47	3	0	4211		6
1	0	0	57		0
28	0	0	2588		5
18	2	0	756		1
8	0	0	959		1
1	0	0	352		0
123	0	0	21785		23
15	1	0	1906		1
640	15	0	26060		64
170	13	0	27261		27
1	0	0	20		1
0	0	0	74		0
22	0	0	1182		4
41	3	0	4438		14
2	0	0	15		0
12	1	0	264		6
47	2	0	7680		21
4	0	0	61		0
472	70	0	42937		87
3	1	0	510		1
167	1	0	9857		36
141	15	0	22799		29
85	3	1	19546		23
85	2	0	24199		12
44	8	0	6265		5
17	1	0	2573		2
403	12	0	44496		55
51	3	0	12055		8
418	9	1	21898		53
39	1	0	6524		6
4	0	0	102		0
8	4	0	2235		2
138	1	0	26533		28
57	4	0	21031		12
1	0	0	65		1
513	43	0	118601		137
8	0	0	1182		1
4	0	0	221		1
415	1	0	39434		72
112	0	0	8786		18
58	0	0	9295		6
132	1	0	9787		18
24	9	0	6163		7
2	0	0	211		1
12	0	0	1643		2
92	11	0	10433		22
8	0	0	654		2
46	16	0	14853		12
24	1	0	2186		4
50	3	0	7395		11
45	0	0	1224		2
38	1	0	3429		5
30	1	0	4591		3
43	8	0	2949		14
12	0	0	1829		4
4	0	0	295		2
207	5	0	14853		58
6	1	0	447		4
31	1	0	3897		5
6	1	0	1139		0
388	45	3	23869		67
281	33	0	57075		67
3	0	0	659		0
5	0	0	55		1
19	0	0	561		5
21	0	0	936		2
2	0	0	26		1
3	0	0	37		1
32	4	1	3491		9
8	0	0	1563		2
5	0	0	180		1
6	0	0	414		2
2	0	0	24		0
630	42	0	116225		118
32	0	0	2500		4
5	0	0	386		2
143	7	0	10095		12
42	1	0	4031		10
4	0	0	711		4
0	0	0	29		0
3	0	0	133		0
41	1	0	12235		11
89	19	1	8143		23
12	0	0	1915		0
759	53	1	73571		136
508	12	0	57536		68
489	17	0	35367		92
285	5	0	35887		42
133	0	0	13528		18
1049	35	0	44016		111
9	0	0	269		0
14	0	0	611		4
0	0	0	33		1
0	0	0	17		0
489	2	0	45100		53
52	4	0	12758		7
63	1	0	3823		4
44	1	0	5039		7
51	0	0	6638		8
11	0	0	773		2
8	0	0	1337		2
108	19	0	9204		13
91	0	0	11812		19
1	0	0	31		0
22	0	0	2262		12
933	1001	12	127046		429
0	0	0	49		0
3	0	0	132		0
0	0	0	2		0
56	7	0	8374		9
2	1	0	38		0
5	0	0	346		1
58	7	0	10408		14
312	1	0	14566		65
162	8	0	21530		38
54	5	0	12453		6
27	0	0	5521		10
18	1	0	2953		3
16	2	0	2226		0
12	0	0	1425		2
6	0	0	1679		2
3	0	0	29		0
4	0	0	245		1
66	3	0	8491		14
20	0	0	1728		5
18	0	0	491		1
9	0	0	1198		1
4	0	0	61		1
107	2	0	9761		19
12	0	0	2066		1
142	3	0	10647		26
8	0	0	843		1
45	31	0	4329		8
18	0	0	1528		1
9	0	0	424		0
75	2	0	3908		9
16	0	0	919		4
137	2	0	18863		19
85	0	0	24328		12
29	2	0	6682		8
5	0	0	327		2
14	0	0	836		3
55	1	0	3414		14
4	0	0	178		0
780	62	3	100167		250
13	0	0	2156		6
21	0	0	1657		2
76	0	0	7159		15
2	0	0	75		0
9	0	0	456		1
69	15	0	11995		20
54	3	0	2456		10
40	2	0	3632		7
178	0	0	18447		33
7	0	0	156		2
51	0	0	2597		8
20	2	0	1353		1
31	1	0	2506		5
225	0	0	9743		21
